author,statement,source,date,target
Hope Karnopp,You can vote in-person absentee at your clerk’s office on Monday before Election Day.,Derrick Van Orden,"April 1, 2024",false
Hope Karnopp,"In 2020, Trump “did much better” in the Wisconsin election than 2016, and “after the wrongdoing was found, people said, ‘Well, he actually did win.’”",Donald Trump,"April 1, 2024",pants-fire
Ciara O'Rourke,“Buttigieg praises cargo ship for helping dismantle racism in American roads.”,Viral image,"March 29, 2024",false
Jill Terreri,"In New York, there are no barriers to law enforcement to work with the federal government on immigration laws, and there are 100 crimes where migrants can be handed over.",Kathy Hochul,"• March 29,",barely-true
Grace Abels,“The Francis Scott Key bridge is the same bridge that was shown in the Netflix movie ‘Leave the World Behind.’”,Facebook posts,"March 29, 2024",false
Laura Schulte,“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,Tammy Baldwin,"March 29, 2024",true
Loreben Tuquero,"""Barco chino destruye imponente barco en Baltimore"".",Facebook posts,"March 29, 2024",false
Sofia Ahmed,Donald Trump paid off the mortgage of a man who helped him fix a flat tire.,Facebook posts,"March 29, 2024",false
Jeff Cercone,A March 26 bridge fire in Ohio is related to the collapse of Baltimore's Francis Scott Key Bridge.,Instagram posts,"March 29, 2024",false
Maria Ramirez,"“Three busses just loaded up with illegal invaders at Detroit Metro"" airport.",Matt Maddock,"• March 29,",pants-fire
Ricardo Torres,“We just had 100% increase in layoffs.”,Scott Walker,"March 29, 2024",mostly-true
Sofia Ahmed,There was an “attempt on the life” of Dr. Oz after he shared a blood pressure treatment.,Facebook posts,"March 29, 2024",false
Ciara O'Rourke,Photo shows “a black figure on the bridge before it collapsed.”,Facebook posts,"March 29, 2024",false
Sofia Ahmed,Donald Trump won Pennsylvania in the 2020 presidential election.,Facebook posts,"March 29, 2024",false
Ciara O'Rourke,Photos are evidence a computer-generated Princess Kate appeared in her recent cancer treatment announcement.,Viral image,"March 29, 2024",false
Ciara O'Rourke,“Trump calls for Prince Harry to leave U.S.”,Facebook posts,"March 29, 2024",false
Loreben Tuquero,The ship that struck the Baltimore bridge was controlled by a Chinese company.,Facebook posts,"March 28, 2024",false
Loreben Tuquero,Transgender female athletes complained that their uniforms were ill-fitting.,Facebook posts,"March 28, 2024",false
Paul Specht,Says Donald Trump “told Americans all they had to do was inject bleach in themselves. Just take a shot of UV light.”,Joe Biden,"March 28, 2024",barely-true
Sara Swann,“It is a fact that Obama created ISIS.”,Alex Jones,"March 28, 2024",pants-fire
Jeff Cercone,"""Barco que impactó contra el puente Francis Scott Key en Baltimore fue atacado cibernéticamente"".",TikTok posts,"March 28, 2024",false
Maria Briceño,"Expertos dicen que el eclipse solar del 8 de abril “será el eclipse más peligroso que ha habido, la guardia nacional se está preparando para este acontecimiento”.",TikTok posts,"March 28, 2024",false
Maria Briceño,"El papa Francisco dijo, “Come lo que quieras en Semana Santa, el sacrificio no está en el estómago, sino en el corazón"".",Facebook posts,"March 28, 2024",false
Hope Karnopp,"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",Sarah Godlewski,"March 28, 2024",true
Marta Campabadal,"El gobernador de Texas “puso más de 5,000 cocodrilos en el río Bravo"".",TikTok posts,"• March 28,",false
Grace Abels,The movie “Leave the World Behind” predicted the Baltimore bridge crash.,Instagram posts,"March 27, 2024",false
Kwasi Gyamfi,A March 7 U.S. security alert … means the U.S. was “behind this gruesome terror attack on Russian civilians.”,X posts,"• March 27,",pants-fire
Madison Czopek,“The captain of the container ship Dali…is a Ukrainian.”,X posts,"March 27, 2024",false
Louis Jacobson,Says “100% of net job creation under the Biden administration has gone to the foreign-born.”,J.D. Vance,"March 27, 2024",barely-true
Loreben Tuquero,Transportation Secretary Pete Buttigieg blamed the Francis Scott Key Bridge’s collapse on “racism.”,X posts,"March 27, 2024",false
Sara Swann,Footage shows explosion on Baltimore bridge.,Instagram posts,"March 27, 2024",pants-fire
Jeff Cercone,"""El logo del canal de cable de niños Nickelodeon es la Isla pedofila de Epstein”.",Facebook posts,"March 27, 2024",false
Jeff Cercone,Mitch McConnell’s sister-in-law who drowned in a Tesla “is listed as the CEO of the company that owns the ship that hit” Baltimore bridge.,Instagram posts,"March 27, 2024",false
Sara Swann,Tennessee bill that would ban the release of chemicals into the atmosphere is evidence chemtrails are real.,Instagram posts,"March 27, 2024",pants-fire
Kwasi Gyamfi,"“Biden signs an executive order to terminate Social Security, SSI, bans side hustle.”",Facebook posts,"• March 27,",pants-fire
Jeff Cercone,The ship that struck a Baltimore bridge “was cyber-attacked.”,Andrew Tate,"March 26, 2024",false
Louis Jacobson,"If elected, “I will be the youngest vice president in American history.”",Nicole Shanahan,"March 26, 2024",false
Marta Campabadal,"""Walmart está regalando los portátiles Dell del año pasado a todos los mayores de 35 años en EEUU para deshacerse del exceso de inventario y despejar el stock para los nuevos modelos"".",Facebook posts,"• March 26,",false
Madison Czopek,Edited Wikipedia entry provides proof that “Israelis deployed Talmudic network to take out” Baltimore’s Francis Scott Key Bridge.,X posts,"March 26, 2024",pants-fire
Madison Czopek,"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",António Guterres,"March 26, 2024",true
Loreben Tuquero,A study that found sunbathing can increase the risk of heart disease is a cover-up for the “side-effects of the vax.”,Instagram posts,"March 26, 2024",false
Jeff Cercone,Maryland bridge collapse was a false flag operation to distract from other events.,X posts,"March 26, 2024",pants-fire
Maria Briceño,"Reportaje sobre ""Eclipse solar 8 de abril 2024"" habla sobre una fase del sol que ""podría desatar catástrofes a nivel global y hambruna"".",Instagram posts,"March 26, 2024",false
Jeff Cercone,Nickelodeon's splat logo design is based on the shape of Epstein Island.,Facebook posts,"March 26, 2024",false
Ciara O'Rourke,Video shows Russian President Vladimir Putin revealing “that Jesus was Black.”,Viral image,"March 25, 2024",false
Louis Jacobson,"Montana Democrats are ""suing to say, ‘You should be allowed to be registered to vote in two states.'”",Ronna McDaniel,"March 25, 2024",barely-true
Amy Sherman,"The New York civil fraud judgment against Trump and a plan to seize Trump-owned property “is simply a 'taking.' Much like what is done in communist countries.""",Donald Trump,"March 25, 2024",false
Ciara O'Rourke,Video shows Russian President Vladimir Putin saying Biblical figures were “all Black.”,Viral image,"March 25, 2024",false
Ciara O'Rourke,Video proves “Pfizer CEO is a reptile.”,Viral image,"March 25, 2024",pants-fire
Ciara O'Rourke,"“Dr. Ben Carson discovered 3 completely natural ingredients that resulted in headaches disappearing, blood cholesterol levels lowering, and elevated blood pressure disappearing.”",Facebook posts,"March 25, 2024",false
Mary McNaughton,"“The average commute time for people who drive to work in (New York City) is 43 minutes, the longest in the nation.”",Carl Weisbrod,"March 25, 2024",mostly-true
Ciara O'Rourke,Image shows elephants running for higher ground in the “past few weeks.”,Instagram posts,"March 25, 2024",false
Ciara O'Rourke,Georgia district attorney Fani Willis was disbarred.,Facebook posts,"March 25, 2024",false
Ciara O'Rourke,“BREAKING: Top CNN host is out as ratings collapse.”,Facebook posts,"March 25, 2024",false
Marta Campabadal,"Jorge Ramos reportó que ""la nueva ley de empoderamiento económico elimina entre $15,000 y $100,000 de deuda de tarjeta de crédito para todos los estadounidenses hispanos"".",Facebook posts,"• March 25,",false
Jefrey Canova,"“Nearly a quarter million birds in New York City, and more than one billion across the country, die each year from collisions with buildings.”",Brad Holyman-Sigal,"March 24, 2024",mostly-true
Louis Jacobson,"The $454 million bond is “unprecedented, and practically impossible for ANY Company.”",Donald Trump,"March 22, 2024",barely-true
Kwasi Gyamfi,"Travis County, Texas, officials preparing for April 8 eclipse “know something catastrophic will happen.”",Instagram posts,"• March 22,",false
Loreben Tuquero,Clips show French President Emmanuel Macron and Ukrainian President Volodymyr Zelenskyy dancing.,Instagram posts,"March 22, 2024",pants-fire
Jeff Cercone,Video shows legislators “dancing in Congress” while the border is “overrun.”,Instagram posts,"March 22, 2024",false
Ciara O'Rourke,"Photos show former CNN correspondent Barbara Starr “on the scene as a witness crisis actor,” proving mass shootings were staged.",Viral image,"March 22, 2024",pants-fire
Sofia Ahmed,"Tyson Foods announced it would hire 52,000 migrants.",Sean Duffy,"March 21, 2024",false
Louis Jacobson,"“Since 1989 and a new age of globalization began, 51 million jobs have been created in America. 49 million, 96%, have been created under Democratic presidents.”",Simon Rosenberg,"March 21, 2024",mostly-true
Samantha Putterman,"Miami’s immigration courts have the “largest backlog of any court in this country with 10% of the overall immigration cases,” and “more than 90%” of people lose their asylum claims.",Jeanette Nuñez,"March 21, 2024",half-true
Jeff Cercone,Photos show President Joe Biden touching his granddaughter inappropriately.,Facebook posts,"March 21, 2024",pants-fire
Sara Swann,The Las Vegas Sphere displayed a derogatory message directed at former President Donald Trump.,Facebook posts,"March 21, 2024",false
Ciara O'Rourke,"FEMA is giving applicants $1,000 checks “next week.”",Facebook posts,"March 21, 2024",pants-fire
Maria Briceño,"Se acaba de lanzar ""el Programa Oficial de Ayuda para Dificultades Económicas en 2024"" para pagar tus deudas de tarjetas de crédito.",Facebook posts,"March 21, 2024",false
Maria Briceño,El presidente argentino “hizo una declaración apoyando las protestas en Cuba” de 2024.,Facebook posts,"March 21, 2024",false
Ciara O'Rourke,Image shows a Princess Kate “stunt double.”,Viral image,"March 21, 2024",false
Ciara O'Rourke,Image shows “chaos unfolds on Senate floor — Chuck Schumer rushes out.”,Viral image,"March 21, 2024",false
Madison Czopek,The Oklahoma National Guard’s assistance for the April 8 eclipse signals something “bigger.”,Facebook posts,"March 20, 2024",false
Marta Campabadal,"""Kate Middleton desaparecida por meses ... El logo de la BBC en negro como cuando falleció la Reina Elizabeth II"".",Facebook posts,"• March 20,",false
Maria Briceño,"“A todos los hispanoamericanos se les borraran sus deudas hasta este sábado 16 de marzo, he aquí porque quieren luchar contra la recesión que se avecina”.",Facebook posts,"March 20, 2024",false
David Scibilia,The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,Patrick Burke,"March 20, 2024",true
Sara Swann,Valid IDs are not required for voting.,Facebook posts,"March 20, 2024",barely-true
Ricardo Torres,"“On Joe Biden’s watch, Wisconsin has lost 6,000 manufacturing jobs and 455 dairy farms in the last year.”",Brian Schimming,"March 20, 2024",barely-true
Ciara O'Rourke,Image shows “underneath the Capitol building.”,Viral image,"March 20, 2024",false
Louis Jacobson,"""Your Social Security will be destroyed by the people coming in. There's too many of them. It's not sustainable.""",Donald Trump,"March 20, 2024",false
Kwasi Gyamfi,"Video shows flooding in Saudi Arabia and the United Arab Emirates on March 9, 2024.",Instagram posts,"• March 19,",false
Sofia Ahmed,Mel Gibson released a video of Bill and Hillary Clinton engaging in cannibalism with “Haitian cannibal gang leader ‘Barbecue!’”,X posts,"March 19, 2024",pants-fire
Madison Czopek,"Emergency officials warn to “stock up on food, water, and fuel ahead of the eclipse.”",Facebook posts,"March 19, 2024",half-true
Sara Swann,"The Jan. 6 committee “suppressed testimony” from former Deputy Chief of Staff Anthony Ornato that proves former President Donald Trump pushed for 10,000 National Guard troops at the Capitol.",Facebook posts,"March 19, 2024",false
Sofia Ahmed,CNN posted on X that Kenyan President William Ruto called President Joe Biden to organize a “naval invasion of the Haitian coast.”,Instagram posts,"March 19, 2024",false
Marta Campabadal,"""Los demócratas están con el dinero de los estadounidenses financiando los vuelos de inmigrantes ilegales.""",TikTok posts,"• March 18,",false
Maria Briceño,"Puedes marcar *#21# para ""saber si espían tu teléfono"".",Facebook posts,"March 18, 2024",false
Sofia Ahmed,Monica Petersen was assassinated in Haiti while she was investigating the Clintons’ child trafficking.,Instagram posts,"March 15, 2024",pants-fire
Ricardo Torres,"In Milwaukee, we “never defunded the police.”",Cavalier Johnson,"March 15, 2024",mostly-true
Jeff Cercone,"The Chinese government “owns” TikTok’s parent company, ByteDance.",Brian Kilmeade,"March 15, 2024",false
Marta Campabadal,"“300,000 illegal immigrants were able to use a simple app to get a free flight to our country.”",Instagram posts,"• March 15,",false
Maria Ramirez,“Biden has implemented a formal policy that illegal aliens who intrude into the United States are granted immunity from deportation.”,Donald Trump,"• March 15,",false
Jeff Cercone,“En Canadá quieren pasar una ley llamada C-367 donde las personas que son cristianas o practican cierta religión pueden ir preso”.,TikTok posts,"March 15, 2024",false
Sofia Ahmed,Only immigrants in the country illegally are eligible for an interest-free California housing loan program.,Instagram posts,"March 15, 2024",false
Grace Abels,“Trans activists replaced Easter with the Transgender Day of Visibility.”,X posts,"March 14, 2024",false
Louis Jacobson,Citizens Property Insurance “is not solvent.”,Ron DeSantis,"March 14, 2024",barely-true
Ciara O'Rourke,"As of March 13, they “really just banned TikTok … we got 6 months left to use it.”",Facebook posts,"March 14, 2024",false
Sofia Ahmed,The 2020 election was the only time in American history that an election took more than 24 hours to count.,Instagram posts,"March 14, 2024",false
Hope Karnopp,"“Since the end of the 2020 fiscal year, President Biden and Senator Baldwin have added over $7.3 trillion of debt, more than the first 228 years of our nation’s history combined.”",Eric Hovde,"March 14, 2024",half-true
Ciara O'Rourke,“Nasty photo of Jill Biden leaks.”,Viral image,"March 13, 2024",false
Ciara O'Rourke,“Albert Einstein was a transgender.”,Facebook posts,"March 13, 2024",pants-fire
Jeff Cercone,A Russian company secured Trump’s bond in E. Jean Carroll case.,Facebook posts,"March 13, 2024",false
Amy Sherman,"President Joe Biden said “do whatever the hell they want,” paused, and then said, “I guess I should clear my mind here a little bit.”",MAGA Inc,"March 13, 2024",barely-true
Katelyn Ferral,"Nancy Pelosi is responsible for Jan. 6, 2021, attack on the U.S. Capitol.",Facebook posts,"March 13, 2024",false
Katelyn Ferral,A photo shows Donald Trump on a street lined with American flags and a crowd behind him.,Facebook posts,"March 13, 2024",pants-fire
Claire Fisher,“Half of the cities with the highest rates of child poverty are in” New York state.,Jessica Ramos,"March 13, 2024",false
Katelyn Ferral,“Republican Cindy McCain endorses Joe Biden” in 2024.,Facebook posts,"March 13, 2024",false
Louis Jacobson,"""In February alone, nearly 1 million jobs held by native-born Americans disappeared.""",Donald Trump,"March 12, 2024",false
Jeff Cercone,"""Canada is passing a bill to essentially ban the idea of Christianity.”",Instagram posts,"March 12, 2024",false
Jeff Cercone,“Al CDC sólo le tomó 4 AÑOS estar de acuerdo con ‘teóricos de la conspiración’ que dijeron en 2020 que: COVID es más o menos como la GRIPE”.,Facebook posts,"March 12, 2024",false
Louis Jacobson,"The Trump administration ""added more to the national debt than any presidential term in American history.""",Joe Biden,"March 12, 2024",half-true
Ciara O'Rourke,“Mel Gibson just released a video that shows the satanic rituals which took place on Jeffrey Epstein’s island.”,Instagram posts,"March 12, 2024",false
Maria Ramirez,A woman was “sex trafficked by the cartels starting at the age of 12 … We wouldn't be OK with this happening in a Third World country. This is the United States of America.”,Katie Britt,"• March 11,",false
Louis Jacobson,"The stock market “hit an all-time high under President Biden and not under President Trump.""",Pete Buttigieg,"March 11, 2024",barely-true
Amy Sherman,“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,Joe Biden,"March 11, 2024",half-true
Grace Abels,"A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.",Instagram posts,"March 11, 2024",mostly-true
Jeff Cercone,Video shows Erewhon grocery store in Brooklyn.,Instagram posts,"March 8, 2024",pants-fire
Loreben Tuquero,President Joe Biden had a gaffe “in a rally in Michigan on Saturday.”,Instagram posts,"March 8, 2024",false
Jeff Cercone,"Video of Joe Biden and Hillary Clinton speeches proves that their words are “all scripts and copied, all fake.”",Instagram posts,"March 8, 2024",false
Loreben Tuquero,“The ‘Judge’ who took Trump off the ballot in Illinois is a traffic court judge.”,Instagram posts,"March 8, 2024",false
Louis Jacobson,"""We’ve already cut the federal deficit by over $1 trillion.""",Joe Biden,"March 8, 2024",half-true
Maria Ramirez,"“Since May of last year, we have removed or returned more individuals than in any year since 2015.”",Alejandro Mayorkas,"• March 8,",mostly-true
Loreben Tuquero,President Joe Biden “bans TikTok for government employees but creates an account for his own campaign.”,Katie Britt,"March 8, 2024",mostly-true
Madison Czopek,“White House announces there will be 2 ‘intermissions’ during tonight’s State of the Union.”,Instagram posts,"March 8, 2024",pants-fire
Ciara O'Rourke,Video shows President Joe Biden delivering new remarks on the Capitol insurrection.,Viral image,"March 8, 2024",false
Laura Schulte,Says U.S. Sen. Tammy Baldwin “was one of the staunchest supporters of the Iran deal which sent billions of dollars and plane loads of cash to Iran.”,Eric Hovde,"March 8, 2024",barely-true
Samantha Putterman,"Joe Biden's executive orders meant ""for the first time in American history we have a president who will not detain the people who enter this country illegally.""",Marco Rubio,"March 8, 2024",false
Madeline Heim,"""We have technology and medical advancements today that can tell you if you are pregnant the day after conception.""",Amanda Nedweski,"March 8, 2024",false
Jeff Cercone,“The CDC officially agrees with ‘conspiracy theorists’ from 2020” who wanted to treat COVID-19 like the flu.,Instagram posts,"March 8, 2024",false
Kwasi Gyamfi,"“Over 10 million people have come across the border with no vetting, no plan, and no path” during Biden’s presidency.",Franklin Graham,"• March 8,",false
Madison Czopek,Billionaires “rigged” the California Senate primary election through “dishonest means.”,Katie Porter,"March 7, 2024",false
Sofia Ahmed,Video shows Kamala Harris saying Democrats would use taxpayer dollars to bribe voters.,Instagram posts,"March 7, 2024",false
Maria Briceño,“This is the era where people are given smartphones when they cross the border and enter our country.”,Jonathan Martin,"March 7, 2024",half-true
Ciara O'Rourke,Video shows Oklahoma students “sucking on the toes of adults.”,Viral image,"March 7, 2024",false
Sofia Ahmed,The Biden administration seeks to end voter ID requirements to allow immigrants in the country illegally to vote.,Instagram posts,"March 7, 2024",false
Paul Specht,“Eighty-two percent of the country understands that (the 2020 election) was a rigged election.”,Donald Trump,"March 7, 2024",false
Maria Ramirez,Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”,Elon Musk,"• March 6,",false
Loreben Tuquero,The U.S. Code states that a person convicted of treason would be “taken by the posse to the nearest busy intersection and at high noon hung by the neck until dead.”,Instagram posts,"March 6, 2024",false
Madison Czopek,President Joe Biden was “rushed to hospital unexpectedly.”,Benny Johnson,"March 6, 2024",false
Sophia Voight,“We're having the largest classes of correctional officers we've ever had before.”,Tony Evers,"March 6, 2024",true
Jeff Cercone,Texas wildfires are a “deliberate” attack on U.S. food supply.,Instagram posts,"March 5, 2024",false
Sara Swann,The Texas wildfires were started by directed energy weapons.,Instagram posts,"March 5, 2024",false
Loreben Tuquero,Texas petition to outlaw “aerosolized spraying” is evidence of chemtrails.,Facebook posts,"March 5, 2024",pants-fire
Hope Karnopp,"""There are less than two weeks until the deadline to register to vote in Wisconsin.""",Voto Latino .,"March 5, 2024",barely-true
Jeff Cercone,Setting on Apple’s new Journal app “lets anyone near you know your FULL NAME and EXACTLY where you’re geo-located.”,Facebook posts,"March 4, 2024",false
Sofia Ahmed,Michael Moore is supporting Trump in the 2024 election.,Instagram posts,"March 4, 2024",false
Samantha Putterman,"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",Joe Biden,"March 4, 2024",mostly-true
Madison Czopek,“Your legal name is in fact a corporation. This is why you always see your name written in ALL CAPS.”,Instagram posts,"March 1, 2024",pants-fire
Madison Czopek,"In New York City “local elections, illegal immigrants can vote.”",Sean Hannity,"March 1, 2024",false
Grace Abels,The Olympic boxing committee “decided this year that men can box against women in the Olympics.”,Tommy Tuberville,"March 1, 2024",barely-true
Jeff Cercone,“Chuck Schumer caught on hot mic” plotting to “blame REPUBLICANS AND MAGA” for reform delays.,Instagram posts,"March 1, 2024",false
Sara Swann,President Joe Biden’s comments about Texas homes are evidence that homes of a certain color are spared from wildfires.,Instagram posts,"March 1, 2024",false
Katelyn Ferral,"Poland's foreign minister said the U.S. is ""dysfunctional and unreliable"" because it has not sent more aid to Ukraine.",Facebook posts,"March 1, 2024",false
Katelyn Ferral,"“7.2 million illegals entered the U.S. under Biden administration,” showing that “the ‘Great Replacement’ is not a theory, it’s a reality.""",Facebook posts,"March 1, 2024",false
Sofia Ahmed,"Chicken and cows have high levels of estrogen, which leads men who eat them to bald, develop man boobs and be unable to grow muscle mass.",Instagram posts,"March 1, 2024",false
Laura Schulte,“One of my responsibilities as Secretary of State is to countersign acts passed by the legislature & signed into law by Gov. Evers.”,Sarah Godlewski,"March 1, 2024",barely-true
